City_ID,City,Country,Date,Longitude,Lattitude,MaxTemp,Humidity,WindSpeed,Cloudiness
2142316,Yeppoon,AU,1563762025,150.74,-23.13,75.2,47,5.82,90
2150163,Sawtell,AU,1563762161,153.1,-30.38,73.4,38,6.93,0
2152659,Port Macquarie,AU,1563762109,152.91,-31.43,73.99,40,5.82,76
2155415,New Norfolk,AU,1563762097,147.06,-42.78,63,54,21.92,75
2156643,Mount Gambier,AU,1563761869,140.78,-37.83,57.2,62,20.8,64
2160517,Launceston,AU,1563761958,147.14,-41.43,57,81,18.34,90
2162683,Innisfail,AU,1563762147,146.03,-17.52,71.01,56,5.99,93
2163355,Hobart,AU,1563762085,147.33,-42.88,63,54,21.92,75
2172880,Byron Bay,AU,1563762147,153.62,-28.65,69.8,77,13.87,1
2173911,Broken Hill,AU,1563762173,141.45,-31.97,62.6,29,11.41,0
2174444,Bowen,AU,1563762228,148.25,-20.01,73.4,69,14.99,90
2175403,Bluff,AU,1563762106,149.07,-23.58,71.93,52,5.82,26
2180815,Tuatapere,NZ,1563762146,167.69,-46.13,50,96,5.01,94
2181625,Te Anau,NZ,1563762121,167.72,-45.41,49.43,76,3.29,100
2185329,Waipawa,NZ,1563761897,176.59,-39.94,53.01,76,3.15,0
2186111,Ngunguru,NZ,1563762220,174.5,-35.62,64.99,66,1.99,33
2191562,Dunedin,NZ,1563762202,170.5,-45.87,50,90,7,34
2194098,Ahipara,NZ,1563762108,173.16,-35.17,64.99,94,13.98,65
2208248,Kaitangata,NZ,1563762123,169.85,-46.28,53.01,92,1.99,73
2219235,Awbari,LY,1563762219,12.77,26.59,76.61,23,10.18,0
2224827,Ngaoundere,CM,1563762160,13.58,7.32,63.65,97,2.93,100
2236967,Soyo,AO,1563762161,12.37,-6.13,71.39,92,9.35,24
2247044,Waounde,SN,1563762208,-12.87,15.26,87.95,46,19.44,71
2247684,Ndioum,SN,1563762166,-14.65,16.51,82.73,51,21.74,0
2249901,Gat,SN,1563762111,-16.54,14.69,77,83,9.17,39
2252473,Diofior,SN,1563762215,-16.66,14.19,77,83,12.75,19
2266895,Machico,PT,1563762237,-16.77,32.7,69.8,68,13.87,20
2267254,Lagoa,PT,1563762126,-8.45,37.14,75,64,6.93,0
2270385,Camacha,PT,1563762228,-16.33,33.08,69.8,77,6.93,40
2274895,Monrovia,LR,1563762157,-10.8,6.33,76.07,88,11.07,96
2280316,Toumodi,CI,1563762182,-5.02,6.56,73,100,4,91
2304548,Anloga,GH,1563762170,0.9,5.79,77,88,10.29,75
2311968,Nioki,CD,1563762183,17.69,-2.72,74.99,66,1.54,29
2337542,Naze,NG,1563762043,7.07,5.43,72.29,98,4.23,85
2367164,Dapaong,TG,1563762115,0.2,10.86,76.61,81,7.36,77
2377457,Nouadhibou,MR,1563762162,-17.03,20.93,69.8,83,16.11,0
2387495,Carnot,CF,1563762169,15.87,4.94,65.99,96,1.66,100
2396518,Port-Gentil,GA,1563762030,8.78,-0.72,75.89,84,15.75,100
2396646,Oyem,GA,1563762169,11.57,1.6,66.35,98,4.32,100
2399959,Koulamoutou,GA,1563762235,12.47,-1.13,68.15,94,3.96,100
2409914,Bonthe,SL,1563762238,-12.5,7.53,75.71,90,8.19,55
2412992,Velingara,SN,1563762184,-16.01,13.64,77.69,87,13.85,53
2413070,Nioro,GM,1563762217,-15.05,13.79,79.67,71,12.28,69
2414055,Youkounkoun,GN,1563762220,-13.12,12.53,74.09,96,8.57,100
2431736,Goundi,TD,1563762119,17.37,9.36,70.85,98,1.66,100
2439155,Tanout,NE,1563762207,8.88,14.97,84.53,53,13.56,100
2444995,Filingue,NE,1563762211,3.32,14.35,87.59,48,1.97,100
2446796,Bilma,NE,1563762147,12.92,18.69,85.43,40,11.03,0
2447513,Arlit,NE,1563762194,7.39,18.74,93.53,27,1.07,41
2449067,Timbuktu,ML,1563762155,-3.01,16.77,91.91,40,7.63,45
2450173,Taoudenni,ML,1563762179,-3.98,22.68,96.23,26,9.8,20
2460954,Araouane,ML,1563762219,-3.53,18.9,94.43,34,9.82,78
2508813,Adrar,DZ,1563762223,-0.29,27.87,96.8,16,18.34,0
2510725,Tacoronte,ES,1563762201,-16.41,28.48,68,100,17.22,90
2514651,Los Llanos de Aridane,ES,1563762209,-17.92,28.66,71.6,73,14.99,90
2520493,Calvia,ES,1563762238,2.51,39.57,79,69,4.7,0
2522333,Aguilas,ES,1563762175,-1.58,37.41,73.99,56,1.01,0
